osmid,y,x,street_count,highway,ref,geometry
263119927,-12.0779524,-77.0300636,4,traffic_signals,,POINT (-77.03006360000001 -12.0779524)
263119928,-12.0778303,-77.0300802,4,traffic_signals,,POINT (-77.0300802 -12.0778303)
263119929,-12.0769695,-77.0302004,4,traffic_signals,,POINT (-77.0302004 -12.0769695)
263119930,-12.076204,-77.0303284,4,,,POINT (-77.0303284 -12.076204)
263119931,-12.0758942,-77.0303735,4,,,POINT (-77.0303735 -12.0758942)
599286845,-11.8807172,-77.0215325,4,traffic_signals,,POINT (-77.02153250000001 -11.8807172)
393864254,-12.1098924,-76.9728738,4,traffic_signals,,POINT (-76.9728738 -12.1098924)
1273619524,-12.0170016,-77.0324798,4,,,POINT (-77.0324798 -12.0170016)
6039926607,-12.0290001,-77.0149332,3,,,POINT (-77.0149332 -12.0290001)
5393802312,-12.0913582,-77.0767142,3,,,POINT (-77.0767142 -12.0913582)
1432446026,-12.113257,-77.0456737,6,traffic_signals,,POINT (-77.04567369999999 -12.113257)
5393802314,-12.0912399,-77.0769605,3,,,POINT (-77.0769605 -12.0912399)
5393802318,-12.0915409,-77.0762277,4,,,POINT (-77.0762277 -12.0915409)
1383621715,-11.92997,-77.0975928,4,,,POINT (-77.0975928 -11.92997)
5421589589,-12.0388117,-76.966779,4,,,POINT (-76.966779 -12.0388117)
262726742,-12.1072299,-77.0395428,4,,,POINT (-77.03954280000001 -12.1072299)
2833179737,-12.125798,-77.0238577,3,,,POINT (-77.02385769999999 -12.125798)
4198130779,-12.174186,-76.9432235,4,,,POINT (-76.9432235 -12.174186)
2833179741,-12.1273469,-77.0232525,3,,,POINT (-77.0232525 -12.1273469)
1273750622,-12.2023266,-76.976389,4,,,POINT (-76.976389 -12.2023266)
1578886240,-12.0167616,-77.0015218,3,,,POINT (-77.00152180000001 -12.0167616)
316073060,-12.1050661,-76.9790594,3,motorway_junction,6B,POINT (-76.9790594 -12.1050661)
4767507556,-12.1542395,-76.9093234,3,,,POINT (-76.90932340000001 -12.1542395)
874898534,-12.0676779,-77.0637821,4,,,POINT (-77.0637821 -12.0676779)
1273750632,-12.1584917,-76.9604945,3,,,POINT (-76.9604945 -12.1584917)
1578886249,-12.0099857,-76.9795669,4,,,POINT (-76.97956689999999 -12.0099857)
4767507563,-12.1552809,-76.9100579,1,,,POINT (-76.9100579 -12.1552809)
4739949678,-12.2108579,-76.9142946,3,,,POINT (-76.91429460000001 -12.2108579)
5049246840,-11.9244846,-77.07295,3,,,POINT (-77.07295000000001 -11.9244846)
1273652345,-12.251504,-76.8975,3,,,POINT (-76.89749999999999 -12.251504)
493839482,-12.018053,-77.0025269,4,,,POINT (-77.00252690000001 -12.018053)
1273750648,-11.9785028,-76.7819258,4,,,POINT (-76.7819258 -11.9785028)
493839484,-12.0132584,-77.0022487,4,,,POINT (-77.0022487 -12.0132584)
1383621757,-11.9304153,-77.0974145,3,,,POINT (-77.0974145 -11.9304153)
493839494,-11.9849378,-77.0066255,4,traffic_signals,,POINT (-77.0066255 -11.9849378)
1578886282,-12.0166524,-76.997177,4,,,POINT (-76.99717699999999 -12.0166524)
9416795275,-12.073283,-77.0997004,3,,,POINT (-77.0997004 -12.073283)
6228632714,-11.8781129,-77.0301173,4,,,POINT (-77.0301173 -11.8781129)
1578886288,-12.0207464,-76.9855444,3,,,POINT (-76.98554439999999 -12.0207464)
1524458646,-11.9747314,-76.7672395,4,,,POINT (-76.7672395 -11.9747314)
1524458647,-11.9700809,-76.751307,3,,,POINT (-76.751307 -11.9700809)
1578886297,-12.0175348,-77.002149,4,,,POINT (-77.002149 -12.0175348)
1273652381,-12.1638282,-76.9585488,3,,,POINT (-76.9585488 -12.1638282)
1383621794,-11.9308793,-77.0972494,3,,,POINT (-77.0972494 -11.9308793)
599286948,-11.9336242,-77.0467274,4,,,POINT (-77.04672739999999 -11.9336242)
827057325,-12.0244622,-77.0537019,3,,,POINT (-77.05370189999999 -12.0244622)
1524458670,-11.973504,-76.759869,3,,,POINT (-76.75986899999999 -11.973504)
1273455793,-12.0449078,-76.9509522,4,,,POINT (-76.9509522 -12.0449078)
393864374,-12.1050819,-76.9652752,3,,,POINT (-76.96527519999999 -12.1050819)
874898618,-12.0676571,-77.0628837,4,,,POINT (-77.0628837 -12.0676571)
842491072,-11.990767,-77.0594325,3,,,POINT (-77.0594325 -11.990767)
316073153,-12.1101958,-76.9801691,4,,,POINT (-76.9801691 -12.1101958)
1201067523,-12.0450059,-77.1354766,3,,,POINT (-77.1354766 -12.0450059)
5589066947,-11.9127622,-77.0735616,3,,,POINT (-77.07356160000001 -11.9127622)
1383621828,-11.9313644,-77.0970651,4,,,POINT (-77.09706509999999 -11.9313644)
1524458694,-11.9760406,-76.7714464,4,,,POINT (-76.7714464 -11.9760406)
5589066955,-11.9155773,-77.073901,3,,,POINT (-77.07390100000001 -11.9155773)
5589066957,-11.9152566,-77.0740661,3,,,POINT (-77.0740661 -11.9152566)
1273455821,-11.8267914,-77.1261364,3,,,POINT (-77.12613639999999 -11.8267914)
1524458703,-11.9729065,-76.7584479,3,,,POINT (-76.75844789999999 -11.9729065)
5589066960,-11.9137087,-77.0739997,3,,,POINT (-77.0739997 -11.9137087)
7134340319,-12.0281351,-77.0932657,4,traffic_signals,,POINT (-77.0932657 -12.0281351)
7134340320,-12.0280624,-77.09324,4,traffic_signals,,POINT (-77.09323999999999 -12.0280624)
1524458721,-11.9742066,-76.763852,4,,,POINT (-76.763852 -11.9742066)
1273980132,-12.135511,-76.9676293,3,,,POINT (-76.9676293 -12.135511)
1578886374,-12.0708643,-77.0036238,3,,,POINT (-77.0036238 -12.0708643)
874898665,-12.067774,-77.0675536,5,,,POINT (-77.0675536 -12.067774)
4459619573,-12.0955561,-76.9801694,3,,,POINT (-76.98016939999999 -12.0955561)
2980275446,-12.1418958,-77.0178787,4,,,POINT (-77.0178787 -12.1418958)
5380596981,-12.0458062,-76.9760622,4,,,POINT (-76.9760622 -12.0458062)
5380596982,-12.0455459,-76.9768675,3,,,POINT (-76.9768675 -12.0455459)
5380596984,-12.0409473,-76.9735206,3,,,POINT (-76.9735206 -12.0409473)
1578886394,-12.0167411,-76.9982958,3,,,POINT (-76.99829579999999 -12.0167411)
6047098107,-11.9905921,-77.0671151,3,,,POINT (-77.0671151 -11.9905921)
1578886390,-12.0145797,-76.9820143,3,,,POINT (-76.9820143 -12.0145797)
1383621887,-11.9317899,-77.0969034,3,,,POINT (-77.0969034 -11.9317899)
4374684928,-12.0038684,-77.0829359,3,,,POINT (-77.0829359 -12.0038684)
1273718024,-12.1910594,-76.998307,4,,,POINT (-76.998307 -12.1910594)
1273619725,-12.2023502,-76.9254156,4,,,POINT (-76.92541559999999 -12.2023502)
391013653,-12.1458133,-77.0217643,4,,,POINT (-77.0217643 -12.1458133)
1579083033,-12.1418152,-77.0182517,4,,,POINT (-77.01825169999999 -12.1418152)
1578886435,-12.016887,-76.9952455,3,,,POINT (-76.9952455 -12.016887)
5122745636,-11.8755289,-77.0808496,3,,,POINT (-77.08084959999999 -11.8755289)
1273718055,-12.2157896,-76.9768508,3,,,POINT (-76.97685079999999 -12.2157896)
628122921,-12.062511,-77.1271554,4,,,POINT (-77.12715540000001 -12.062511)
1383621932,-11.932295,-77.0967115,4,,,POINT (-77.0967115 -11.932295)
1383621935,-11.9323182,-77.0967829,4,,,POINT (-77.09678289999999 -11.9323182)
4379600178,-12.0147118,-76.8857265,3,,,POINT (-76.8857265 -12.0147118)
386852147,-12.1229322,-76.9857757,4,traffic_signals,,POINT (-76.9857757 -12.1229322)
4377863474,-11.9422404,-76.7029148,3,,,POINT (-76.7029148 -11.9422404)
629564722,-12.0637522,-77.13934,4,,,POINT (-77.13934 -12.0637522)
629564736,-12.0625734,-77.1394661,3,traffic_signals,,POINT (-77.13946610000001 -12.0625734)
1383621958,-11.9324952,-77.0972111,3,,,POINT (-77.0972111 -11.9324952)
1024451911,-12.0766446,-76.9630759,3,,,POINT (-76.96307590000001 -12.0766446)
1383621959,-11.9326678,-77.0976363,3,,,POINT (-77.0976363 -11.9326678)
4327105867,-12.126448,-77.0172982,4,,,POINT (-77.0172982 -12.126448)
1383621967,-11.9327968,-77.0965266,3,,,POINT (-77.0965266 -11.9327968)
1383621968,-11.9328393,-77.0980449,3,,,POINT (-77.0980449 -11.9328393)
1383621969,-11.932889,-77.0981697,3,,,POINT (-77.0981697 -11.932889)
262727003,-12.1054061,-77.0401592,4,,,POINT (-77.04015920000001 -12.1054061)
8897553756,-12.0608129,-76.9758868,3,,,POINT (-76.9758868 -12.0608129)
1383621983,-11.9332769,-77.0963497,3,,,POINT (-77.0963497 -11.9332769)
108029280,-12.1009941,-77.0367921,4,traffic_signals,,POINT (-77.0367921 -12.1009941)
1578886499,-12.0167583,-76.9972179,3,,,POINT (-76.9972179 -12.0167583)
6831924581,-12.1929653,-76.9633492,3,,,POINT (-76.9633492 -12.1929653)
4411745639,-12.0725799,-77.0140148,4,,,POINT (-77.0140148 -12.0725799)
4411745640,-12.0726535,-77.0140392,3,,,POINT (-77.0140392 -12.0726535)
266954089,-12.2542933,-76.9194938,3,,,POINT (-76.9194938 -12.2542933)
6831924584,-12.1959217,-76.9591286,3,,,POINT (-76.9591286 -12.1959217)
1383621997,-11.9334383,-77.093747,3,,,POINT (-77.09374699999999 -11.9334383)
316073328,-12.1097799,-76.9783883,3,,,POINT (-76.97838830000001 -12.1097799)
1836213617,-12.0683432,-77.0771019,3,,,POINT (-77.0771019 -12.0683432)
1836213618,-12.0685581,-77.0777345,4,,,POINT (-77.07773450000001 -12.0685581)
1383622008,-11.933748,-77.0961761,4,,,POINT (-77.09617609999999 -11.933748)
262727033,-12.1041406,-77.0458742,3,,,POINT (-77.0458742 -12.1041406)
262727032,-12.1042365,-77.0454316,3,,,POINT (-77.0454316 -12.1042365)
1273521532,-11.9442241,-76.7093785,3,,,POINT (-76.7093785 -11.9442241)
599287164,-11.9297571,-77.043811,4,,,POINT (-77.04381100000001 -11.9297571)
874898815,-12.0677796,-77.0685229,4,,,POINT (-77.0685229 -12.0677796)
262727035,-12.1030015,-77.0467896,3,,,POINT (-77.0467896 -12.1030015)
1674175881,-12.1884632,-76.9444075,3,,,POINT (-76.9444075 -12.1884632)
1739974030,-12.0137394,-76.9861093,4,,,POINT (-76.9861093 -12.0137394)
6129477011,-12.0557901,-77.1289465,3,,,POINT (-77.1289465 -12.0557901)
9170118036,-12.0383724,-77.0911079,4,traffic_signals,,POINT (-77.0911079 -12.0383724)
1383622036,-11.9341981,-77.0990804,3,,,POINT (-77.09908040000001 -11.9341981)
1273882009,-12.0145037,-76.8851186,4,,,POINT (-76.8851186 -12.0145037)
3952895388,-12.2027201,-76.9306766,4,,,POINT (-76.9306766 -12.2027201)
1578886560,-12.0707764,-77.0036771,3,,,POINT (-77.0036771 -12.0707764)
316073377,-12.1103409,-76.9790504,3,,,POINT (-76.97905040000001 -12.1103409)
1754916256,-12.0093668,-77.0344363,3,,,POINT (-77.0344363 -12.0093668)
1383622051,-11.9343191,-77.0959411,4,,,POINT (-77.0959411 -11.9343191)
1383622052,-11.9343367,-77.0990178,3,,,POINT (-77.0990178 -11.9343367)
1383622053,-11.9343469,-77.0960098,4,,,POINT (-77.0960098 -11.9343469)
3736790438,-11.9794394,-77.1149458,4,,,POINT (-77.1149458 -11.9794394)
874898853,-12.0684346,-77.0769509,3,,,POINT (-77.0769509 -12.0684346)
1578886567,-12.0412509,-76.9775227,4,,,POINT (-76.97752269999999 -12.0412509)
874898858,-12.0704859,-77.0772742,3,,,POINT (-77.07727420000001 -12.0704859)
3952895403,-12.2108868,-76.9447206,4,traffic_signals,,POINT (-76.9447206 -12.2108868)
3952895404,-12.211211,-76.9445257,4,traffic_signals,,POINT (-76.9445257 -12.211211)
4767507888,-12.1520704,-76.9048593,3,,,POINT (-76.9048593 -12.1520704)
3952895409,-12.211248,-76.9445883,4,traffic_signals,,POINT (-76.94458830000001 -12.211248)
3736790451,-11.9821704,-77.1148049,4,,,POINT (-77.1148049 -11.9821704)
1273980339,-12.1821222,-76.9511589,4,,,POINT (-76.9511589 -12.1821222)
874898870,-12.0678696,-77.0729399,3,,,POINT (-77.07293989999999 -12.0678696)
4767507897,-12.1529823,-76.9072734,3,,,POINT (-76.90727339999999 -12.1529823)
1383622075,-11.9347152,-77.098847,3,,,POINT (-77.09884700000001 -11.9347152)
1754916284,-12.0100213,-77.0338956,3,,,POINT (-77.03389559999999 -12.0100213)
3736790464,-11.9863747,-77.1155445,4,,,POINT (-77.1155445 -11.9863747)
4362003905,-12.0417765,-76.9866223,3,,,POINT (-76.98662229999999 -12.0417765)
1578886598,-12.0139598,-76.981605,3,,,POINT (-76.981605 -12.0139598)
1273816519,-12.2035214,-76.9459495,4,,,POINT (-76.9459495 -12.2035214)
3736790471,-11.9877661,-77.1145803,4,,,POINT (-77.1145803 -11.9877661)
3736790473,-11.9880664,-77.1144345,4,,,POINT (-77.1144345 -11.9880664)
1754916294,-12.0103322,-77.0336423,3,,,POINT (-77.0336423 -12.0103322)
7810606539,-12.0678382,-76.995006,4,,,POINT (-76.995006 -12.0678382)
1383622096,-11.9350847,-77.0986803,4,,,POINT (-77.0986803 -11.9350847)
1578886609,-12.0671663,-76.9972364,4,,,POINT (-76.99723640000001 -12.0671663)
874898906,-12.0678572,-77.0723677,3,,,POINT (-77.0723677 -12.0678572)
1383622107,-11.9352313,-77.0955074,4,,,POINT (-77.0955074 -11.9352313)
874898912,-12.0678283,-77.0704673,3,,,POINT (-77.0704673 -12.0678283)
1752688100,-12.1242251,-76.9607434,3,,,POINT (-76.9607434 -12.1242251)
1273619941,-12.0316371,-76.8875009,3,,,POINT (-76.88750090000001 -12.0316371)
1752688102,-12.1242731,-76.960278,3,,,POINT (-76.960278 -12.1242731)
4941407719,-12.1721298,-76.9825644,3,,,POINT (-76.9825644 -12.1721298)
1752688104,-12.1243071,-76.9599216,4,,,POINT (-76.9599216 -12.1243071)
1383622122,-11.9354609,-77.0985093,3,,,POINT (-77.0985093 -11.9354609)
1603986923,-12.1466987,-77.0058227,4,traffic_signals,,POINT (-77.0058227 -12.1466987)
1383622129,-11.9355228,-77.0830964,4,,,POINT (-77.0830964 -11.9355228)
6287549938,-11.9098022,-77.0555886,3,,,POINT (-77.05558859999999 -11.9098022)
599287281,-11.8993469,-77.0429708,4,,,POINT (-77.04297080000001 -11.8993469)
9834751479,-12.042058,-77.0215392,3,,,POINT (-77.02153920000001 -12.042058)
4529251832,-12.2307766,-76.8891613,3,,,POINT (-76.8891613 -12.2307766)
1756620283,-11.9685553,-77.1081555,3,,,POINT (-77.1081555 -11.9685553)
1756620286,-11.9688046,-77.1078967,3,,,POINT (-77.1078967 -11.9688046)
1376151046,-12.0526129,-77.125184,4,traffic_signals,,POINT (-77.125184 -12.0526129)
3126781447,-11.9683458,-77.0836861,4,traffic_signals,,POINT (-77.08368609999999 -11.9683458)
1754916359,-12.0130892,-77.0316495,3,,,POINT (-77.0316495 -12.0130892)
1376151051,-12.0560415,-77.1302128,4,,,POINT (-77.1302128 -12.0560415)
1383622156,-11.9357885,-77.092336,3,,,POINT (-77.092336 -11.9357885)
4212647442,-12.1890122,-76.9738023,3,,,POINT (-76.9738023 -12.1890122)
1376151059,-12.0555648,-77.1289911,4,,,POINT (-77.12899109999999 -12.0555648)
1754916372,-12.0134267,-77.0314885,3,,,POINT (-77.03148849999999 -12.0134267)
1383622167,-11.935946,-77.0976876,4,,,POINT (-77.0976876 -11.935946)
582805017,-12.0398017,-77.0329019,4,,,POINT (-77.0329019 -12.0398017)
914286105,-12.2194202,-76.845538,3,,,POINT (-76.845538 -12.2194202)
1752688154,-12.1255799,-76.9582079,4,,,POINT (-76.9582079 -12.1255799)
4335724060,-11.9262996,-77.0648395,3,,,POINT (-77.06483950000001 -11.9262996)
1752688156,-12.1256845,-76.9577031,4,,,POINT (-76.9577031 -12.1256845)
914286110,-12.2193573,-76.8448299,3,,,POINT (-76.84482989999999 -12.2193573)
1376151071,-12.0584708,-77.1285844,4,,,POINT (-77.12858439999999 -12.0584708)
9442780702,-12.0190486,-77.0511903,3,,,POINT (-77.0511903 -12.0190486)
5115831841,-11.9931004,-77.1120807,3,,,POINT (-77.11208070000001 -11.9931004)
582805020,-12.0481274,-77.0399719,4,traffic_signals,,POINT (-77.0399719 -12.0481274)
5115831843,-11.9949699,-77.1112568,3,,,POINT (-77.11125680000001 -11.9949699)
4335724068,-11.9273523,-77.0654596,3,,,POINT (-77.0654596 -11.9273523)
582805029,-12.048216,-77.0400306,4,traffic_signals,,POINT (-77.04003059999999 -12.048216)
582805027,-12.0469539,-77.0419619,4,,,POINT (-77.0419619 -12.0469539)
582805028,-12.0475522,-77.0410237,4,,,POINT (-77.0410237 -12.0475522)
262727210,-12.10569,-77.047468,4,,,POINT (-77.04746799999999 -12.10569)
9442780715,-12.0182254,-77.0512757,4,,,POINT (-77.05127570000001 -12.0182254)
874898988,-12.0678426,-77.0716683,3,,,POINT (-77.0716683 -12.0678426)
582805030,-12.0489128,-77.0389524,4,,,POINT (-77.0389524 -12.0489128)
3987072558,-11.9815998,-77.0654912,3,,,POINT (-77.0654912 -11.9815998)
1383622195,-11.9363377,-77.0941332,4,,,POINT (-77.0941332 -11.9363377)
1841915444,-12.0419079,-77.0219335,4,traffic_signals,,POINT (-77.0219335 -12.0419079)
391013941,-12.1478528,-77.0221416,3,,,POINT (-77.0221416 -12.1478528)
289367604,-11.937371,-77.068469,3,,,POINT (-77.06846899999999 -11.937371)
391013943,-12.1469571,-77.0225211,4,,,POINT (-77.02252110000001 -12.1469571)
5364508216,-12.0784134,-77.0613545,4,,,POINT (-77.06135449999999 -12.0784134)
3987072569,-11.9729852,-77.0666843,3,,,POINT (-77.06668430000001 -11.9729852)
3987072570,-11.9761502,-77.0659205,3,,,POINT (-77.0659205 -11.9761502)
1841915451,-12.0457748,-77.0384395,4,,,POINT (-77.0384395 -12.0457748)
3987072572,-11.9789526,-77.0655198,3,,,POINT (-77.0655198 -11.9789526)
1841915450,-12.0446352,-77.0403405,4,traffic_signals,,POINT (-77.0403405 -12.0446352)
3987072571,-11.9795877,-77.0653,3,,,POINT (-77.06529999999999 -11.9795877)
1841915460,-12.0482629,-77.0424493,4,traffic_signals,,POINT (-77.0424493 -12.0482629)
1383622212,-11.9365498,-77.091476,3,,,POINT (-77.091476 -11.9365498)
1383622213,-11.936563,-77.092975,3,,,POINT (-77.092975 -11.936563)
5468186183,-12.1251527,-76.9573768,3,,,POINT (-76.95737680000001 -12.1251527)
1273980488,-12.0179085,-76.8175497,3,,,POINT (-76.8175497 -12.0179085)
1756620361,-11.9709345,-77.1053665,3,,,POINT (-77.1053665 -11.9709345)
1754916420,-12.0145005,-77.0309943,3,,,POINT (-77.0309943 -12.0145005)
7245129292,-12.1436137,-77.0153311,3,,,POINT (-77.0153311 -12.1436137)
1841915469,-12.052656,-77.0331241,4,,,POINT (-77.03312409999999 -12.052656)
1756620364,-11.9711364,-77.105248,3,,,POINT (-77.105248 -11.9711364)
262727255,-12.103244,-77.0448125,4,,,POINT (-77.04481250000001 -12.103244)
4331365979,-12.1103047,-77.0514045,3,,,POINT (-77.0514045 -12.1103047)
1841915484,-12.0617623,-77.0189399,4,,,POINT (-77.01893990000001 -12.0617623)
8227743323,-11.9420942,-77.0005937,3,,,POINT (-77.0005937 -11.9420942)
1841915486,-12.0628256,-77.0270651,4,,,POINT (-77.0270651 -12.0628256)
1383622242,-11.9369795,-77.0933211,3,,,POINT (-77.0933211 -11.9369795)
1841915491,-12.0675011,-76.9952894,4,,,POINT (-76.9952894 -12.0675011)
931751523,-11.9196519,-77.0899189,3,,,POINT (-77.0899189 -11.9196519)
1841915496,-12.0840158,-77.0043057,4,,,POINT (-77.0043057 -12.0840158)
1841915497,-12.0841555,-77.0040152,4,,,POINT (-77.0040152 -12.0841555)
1841915498,-12.0841891,-77.0042808,4,,,POINT (-77.0042808 -12.0841891)
4353222249,-12.0939313,-76.9677567,3,,,POINT (-76.9677567 -12.0939313)
1752688234,-12.1282668,-76.9600946,4,,,POINT (-76.96009460000001 -12.1282668)
1383622258,-11.9372992,-77.0920955,3,,,POINT (-77.0920955 -11.9372992)
1273816690,-12.1743042,-76.9494932,3,,,POINT (-76.94949320000001 -12.1743042)
1383622266,-11.9375475,-77.0853439,4,,,POINT (-77.0853439 -11.9375475)
263120510,-12.0870975,-77.035251,4,traffic_signals,,POINT (-77.035251 -12.0870975)
1738466943,-11.9748715,-76.8386638,4,,,POINT (-76.83866380000001 -11.9748715)
1746921102,-12.0197112,-76.9006392,3,,,POINT (-76.9006392 -12.0197112)
